business_used_car_id,created_at,deleted_at,modified_at,description,car_transmission_kind,company_service_type,color,distance,fuel,image_src,model_option,model_year,name,passengers,member_id
11,2021-06-15 20:44:38,2021-01-31 12:11:44,2021-09-06 02:36:22,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,STICK,CHANGE,Turquoise,33,DIESEL,http://dummyimage.com/186x186.png/cc0000/ffffff,sed tristique in tempus sit amet sem fusce consequat nulla nisl,2006,Sierra 2500,2,412
12,2021-03-21 01:39:53,2021-09-18 08:41:01,2021-08-20 14:38:42,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",STICK,SALE,Khaki,47,DIESEL,http://dummyimage.com/132x268.png/ff4444/ffffff,donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum,1995,Aspire,6,349
13,2021-03-08 19:23:45,2021-08-18 23:54:19,2021-07-15 10:26:48,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",STICK,SALE,Turquoise,73,DIESEL,http://dummyimage.com/210x336.png/cc0000/ffffff,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,1987,Grand Prix,10,487
14,2021-06-29 23:35:21,2021-01-16 15:49:59,2021-01-01 22:46:57,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",STICK,SALE,Violet,2,GASOLINE,http://dummyimage.com/240x359.png/5fa2dd/ffffff,mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2002,Boxster,6,58
15,2021-06-23 22:26:07,2021-02-22 10:14:49,2021-08-07 23:29:31,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",AUTOMATIC,SALE,Fuscia,34,DIESEL,http://dummyimage.com/161x314.png/ff4444/ffffff,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,2000,Alero,8,375
16,2021-03-11 03:32:01,2021-05-31 23:18:30,2021-01-26 14:06:43,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",STICK,DIRECTTRADE,Red,70,GASOLINE,http://dummyimage.com/205x309.png/cc0000/ffffff,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,1969,Corvette,2,28
17,2021-09-20 10:35:09,2021-04-09 16:07:21,2021-04-03 06:31:47,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",STICK,SALE,Violet,9,DIESEL,http://dummyimage.com/118x127.png/ff4444/ffffff,neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,2002,F250,4,4
18,2021-04-12 21:27:05,2021-02-18 16:24:48,2021-09-13 00:12:19,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,STICK,DIRECTTRADE,Goldenrod,61,GASOLINE,http://dummyimage.com/167x195.png/5fa2dd/ffffff,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis,1984,Cougar,8,471
19,2021-03-28 12:21:42,2021-08-08 20:55:35,2021-05-22 17:01:40,Sed ante. Vivamus tortor. Duis mattis egestas metus.,STICK,SALE,Teal,13,DIESEL,http://dummyimage.com/162x200.png/ff4444/ffffff,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,2003,ES,9,101
20,2021-08-08 16:35:37,2021-01-17 08:23:03,2021-05-16 13:29:18,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",AUTOMATIC,SALE,Blue,10,DIESEL,http://dummyimage.com/125x399.png/dddddd/000000,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,1997,Continental,2,963
21,2021-02-02 10:09:22,2021-02-01 23:26:41,2021-08-04 08:33:09,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",AUTOMATIC,DIRECTTRADE,Green,60,GAS,http://dummyimage.com/208x150.png/ff4444/ffffff,volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,1997,XK Series,5,961
22,2021-03-11 23:31:27,2021-01-21 04:15:02,2021-05-06 00:50:24,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",AUTOMATIC,DIRECTTRADE,Red,57,GASOLINE,http://dummyimage.com/236x213.png/5fa2dd/ffffff,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,1992,Park Avenue,1,808
23,2021-05-22 03:08:41,2021-07-21 14:47:10,2021-02-01 03:45:31,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",AUTOMATIC,SALE,Pink,22,DIESEL,http://dummyimage.com/181x224.png/dddddd/000000,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,1990,Type 2,4,85
24,2021-07-22 01:22:48,2021-02-26 12:19:10,2021-08-05 12:02:04,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",STICK,SALE,Fuscia,57,GAS,http://dummyimage.com/125x308.png/5fa2dd/ffffff,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,1992,Capri,10,477
25,2021-08-13 21:25:09,2021-02-04 09:29:31,2021-04-26 00:57:09,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",AUTOMATIC,DIRECTTRADE,Goldenrod,39,GASOLINE,http://dummyimage.com/129x200.png/5fa2dd/ffffff,morbi a ipsum integer a nibh in quis justo maecenas,2010,Fit,7,328
26,2021-01-20 21:24:57,2021-09-05 03:28:56,2021-01-03 19:49:43,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",AUTOMATIC,CHANGE,Puce,8,DIESEL,http://dummyimage.com/179x375.png/cc0000/ffffff,amet lobortis sapien sapien non mi integer ac neque duis bibendum,1994,Coachbuilder,4,466
27,2021-05-23 15:51:40,2021-09-15 14:39:50,2021-03-02 23:14:22,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",AUTOMATIC,CHANGE,Puce,99,GAS,http://dummyimage.com/160x155.png/cc0000/ffffff,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel,2006,Canyon,6,108
28,2021-09-15 05:45:43,2021-05-10 07:08:54,2021-05-18 16:20:58,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",AUTOMATIC,DIRECTTRADE,Maroon,45,DIESEL,http://dummyimage.com/216x237.png/dddddd/000000,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,1998,Camry,1,357
29,2021-09-03 15:17:04,2021-04-04 10:34:13,2021-09-05 16:56:47,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",STICK,DIRECTTRADE,Teal,44,GAS,http://dummyimage.com/129x255.png/dddddd/000000,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,2006,Town Car,4,341
30,2021-01-13 09:35:49,2021-07-08 10:43:41,2021-06-17 20:20:48,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",AUTOMATIC,SALE,Orange,78,GASOLINE,http://dummyimage.com/233x102.png/ff4444/ffffff,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,2010,LR2,4,686
31,2021-06-25 00:31:48,2021-01-16 03:19:34,2021-05-26 14:36:01,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",AUTOMATIC,CHANGE,Khaki,73,DIESEL,http://dummyimage.com/126x118.png/dddddd/000000,nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,2011,Impreza WRX,8,239
32,2021-03-13 18:57:57,2021-02-18 05:27:38,2021-01-02 00:24:26,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",STICK,DIRECTTRADE,Mauv,99,GASOLINE,http://dummyimage.com/110x331.png/dddddd/000000,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,2010,Accent,8,361
33,2021-04-03 15:57:32,2021-04-18 15:29:30,2021-08-25 08:46:52,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",STICK,DIRECTTRADE,Teal,50,DIESEL,http://dummyimage.com/221x216.png/5fa2dd/ffffff,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,1989,XT,9,244
34,2021-01-11 04:23:21,2021-05-13 05:18:08,2021-08-25 15:12:24,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",STICK,CHANGE,Mauv,7,GASOLINE,http://dummyimage.com/223x313.png/5fa2dd/ffffff,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,1967,Cougar,3,176
35,2021-08-26 14:20:34,2021-04-26 03:32:59,2021-03-08 00:06:06,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",AUTOMATIC,DIRECTTRADE,Orange,30,GASOLINE,http://dummyimage.com/151x131.png/5fa2dd/ffffff,morbi non quam nec dui luctus rutrum nulla tellus in sagittis,1991,Regal,2,678
36,2021-08-18 21:48:24,2021-03-16 16:59:05,2021-09-16 05:31:35,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,AUTOMATIC,DIRECTTRADE,Red,75,DIESEL,http://dummyimage.com/159x248.png/ff4444/ffffff,integer ac neque duis bibendum morbi non quam nec dui luctus,2002,Aerio,6,345
37,2021-01-26 01:32:40,2021-06-05 14:01:37,2021-04-21 03:47:43,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,AUTOMATIC,SALE,Indigo,73,GASOLINE,http://dummyimage.com/185x337.png/dddddd/000000,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,2012,ES,1,655
38,2021-03-23 05:08:39,2021-05-12 00:46:48,2021-08-15 08:09:40,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,AUTOMATIC,CHANGE,Indigo,21,DIESEL,http://dummyimage.com/127x262.png/ff4444/ffffff,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,2011,IS-F,4,563
39,2021-01-18 16:53:39,2021-08-28 11:49:56,2021-09-08 23:37:34,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",AUTOMATIC,DIRECTTRADE,Red,86,GAS,http://dummyimage.com/172x276.png/5fa2dd/ffffff,ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,1999,Firebird Formula,4,696
40,2021-01-11 22:21:49,2021-07-09 11:25:55,2021-01-30 06:19:00,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",STICK,CHANGE,Pink,70,GASOLINE,http://dummyimage.com/205x293.png/dddddd/000000,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,1998,Achieva,10,618
41,2021-01-01 09:10:36,2021-05-10 02:07:22,2021-06-09 10:11:29,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",STICK,DIRECTTRADE,Puce,9,GASOLINE,http://dummyimage.com/248x107.png/dddddd/000000,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac,1993,Tracker,6,123
42,2021-02-12 05:39:46,2021-03-14 00:48:49,2021-03-13 18:49:44,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",AUTOMATIC,SALE,Goldenrod,49,DIESEL,http://dummyimage.com/159x235.png/cc0000/ffffff,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2011,SLK-Class,9,702
43,2021-03-11 02:05:14,2021-04-29 08:30:29,2021-07-25 16:04:36,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",AUTOMATIC,DIRECTTRADE,Crimson,1,DIESEL,http://dummyimage.com/161x338.png/5fa2dd/ffffff,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,2011,GTI,9,373
44,2021-05-28 22:52:15,2021-03-23 04:42:46,2021-02-07 22:11:26,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",AUTOMATIC,SALE,Aquamarine,89,DIESEL,http://dummyimage.com/158x294.png/dddddd/000000,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi,2000,Quest,5,148
45,2021-07-05 20:22:29,2021-04-05 19:51:18,2021-05-09 11:54:32,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",STICK,DIRECTTRADE,Aquamarine,29,GAS,http://dummyimage.com/226x139.png/ff4444/ffffff,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,2012,Traverse,8,756
46,2021-08-21 14:33:55,2021-04-24 14:39:29,2021-05-11 13:28:19,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",STICK,SALE,Violet,90,GAS,http://dummyimage.com/122x210.png/ff4444/ffffff,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,2007,Yukon XL 2500,8,900
47,2021-09-14 10:09:05,2021-03-05 15:57:20,2021-03-31 05:04:40,Phasellus in felis. Donec semper sapien a libero. Nam dui.,STICK,SALE,Green,24,DIESEL,http://dummyimage.com/174x139.png/ff4444/ffffff,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,2004,Excursion,3,913
48,2021-01-06 18:50:00,2021-09-16 16:22:40,2021-05-20 00:42:43,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",STICK,DIRECTTRADE,Red,1,DIESEL,http://dummyimage.com/159x267.png/ff4444/ffffff,phasellus in felis donec semper sapien a libero nam dui proin leo,2003,QX,8,428
49,2021-07-18 11:02:46,2021-06-10 04:43:32,2021-09-16 21:38:10,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",AUTOMATIC,CHANGE,Aquamarine,19,DIESEL,http://dummyimage.com/210x364.png/dddddd/000000,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede,2011,Xterra,1,339
50,2021-02-16 23:15:25,2021-07-04 13:59:37,2021-05-16 00:54:15,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",AUTOMATIC,SALE,Turquoise,16,GAS,http://dummyimage.com/243x275.png/ff4444/ffffff,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2008,Silverado 3500,9,2
51,2021-04-13 03:54:04,2021-08-19 12:14:08,2021-07-25 01:41:55,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,STICK,DIRECTTRADE,Aquamarine,20,GASOLINE,http://dummyimage.com/189x121.png/cc0000/ffffff,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,2009,Z4 M,9,935
52,2021-01-15 17:00:27,2021-09-01 23:44:37,2021-04-01 00:22:06,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",AUTOMATIC,DIRECTTRADE,Khaki,6,DIESEL,http://dummyimage.com/164x256.png/cc0000/ffffff,adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,2011,Cube,6,548
