company_car_id,created_at,deleted_at,modified_at,car_transmission_kind,color,distance,fuel,image_src,model_option,model_year,name,passengers,admin_id
29,2021-05-21 16:06:04,2021-01-13 09:05:35,2021-02-05 00:22:46,STICK,Khaki,57,GASOLINE,http://dummyimage.com/194x146.png/ff4444/ffffff,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2007,Cobalt SS,10,551
30,2021-09-01 16:48:03,2021-07-10 03:27:59,2021-09-21 05:30:42,STICK,Blue,58,GAS,http://dummyimage.com/128x174.png/dddddd/000000,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,1968,Cougar,9,71
31,2021-01-08 03:36:09,2021-06-04 05:34:55,2021-04-30 14:51:52,AUTOMATIC,Khaki,28,GAS,http://dummyimage.com/128x379.png/5fa2dd/ffffff,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,2007,Aveo,7,105
32,2021-03-31 18:07:40,2021-01-08 21:56:18,2021-05-31 21:57:02,AUTOMATIC,Goldenrod,2,GAS,http://dummyimage.com/221x106.png/ff4444/ffffff,varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,1994,Jetta,1,415
33,2021-03-08 21:05:29,2021-05-02 17:39:14,2021-09-08 22:56:10,STICK,Khaki,75,GASOLINE,http://dummyimage.com/146x221.png/dddddd/000000,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,2012,Fortwo,3,715
34,2021-09-15 13:33:55,2021-05-14 16:40:34,2021-07-03 16:20:51,STICK,Blue,59,GAS,http://dummyimage.com/186x262.png/5fa2dd/ffffff,nunc donec quis orci eget orci vehicula condimentum curabitur in,2005,Jetta,2,791
35,2021-04-16 17:40:39,2021-07-01 20:43:46,2021-01-04 06:13:29,AUTOMATIC,Aquamarine,71,GAS,http://dummyimage.com/173x321.png/cc0000/ffffff,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,2001,Sierra 3500,5,836
36,2021-09-09 05:12:54,2021-06-30 04:09:17,2021-08-02 15:35:15,STICK,Crimson,52,GASOLINE,http://dummyimage.com/137x183.png/cc0000/ffffff,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,1986,F-Series,8,433
37,2021-09-03 22:09:16,2021-04-04 03:58:24,2021-04-15 14:07:36,STICK,Crimson,33,DIESEL,http://dummyimage.com/159x331.png/ff4444/ffffff,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,2003,Baja,4,174
38,2021-07-21 08:37:52,2021-01-07 16:56:37,2021-05-07 07:57:19,STICK,Indigo,36,GASOLINE,http://dummyimage.com/101x269.png/cc0000/ffffff,non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1954,Corvette,4,230
39,2021-05-10 00:52:12,2021-08-17 09:26:07,2021-02-03 16:06:40,STICK,Aquamarine,12,GASOLINE,http://dummyimage.com/229x184.png/5fa2dd/ffffff,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,2012,Nuova 500,1,475
40,2021-05-23 14:07:35,2021-05-29 02:26:05,2021-06-19 19:51:27,AUTOMATIC,Crimson,40,GAS,http://dummyimage.com/218x119.png/ff4444/ffffff,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,1992,Integra,4,281
41,2021-07-05 08:21:40,2021-06-15 19:46:19,2021-05-21 21:33:07,AUTOMATIC,Crimson,44,DIESEL,http://dummyimage.com/189x165.png/dddddd/000000,fusce posuere felis sed lacus morbi sem mauris laoreet ut,2003,Express 2500,9,850
42,2021-04-12 17:30:57,2021-08-11 07:43:36,2021-02-18 04:21:40,STICK,Blue,66,GASOLINE,http://dummyimage.com/149x328.png/dddddd/000000,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in,2009,Corolla,5,100
43,2021-03-08 20:22:10,2021-09-02 11:55:56,2021-08-16 19:18:19,STICK,Khaki,43,GASOLINE,http://dummyimage.com/224x267.png/5fa2dd/ffffff,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,1990,Justy,4,927
44,2021-04-03 05:42:33,2021-02-08 17:02:56,2021-03-24 02:40:09,STICK,Puce,35,DIESEL,http://dummyimage.com/175x367.png/ff4444/ffffff,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,1986,Ranger,3,699
45,2021-06-25 04:40:25,2021-08-21 19:59:22,2021-06-23 15:00:42,STICK,Puce,75,DIESEL,http://dummyimage.com/189x383.png/ff4444/ffffff,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,1999,Durango,5,294
46,2021-05-10 19:09:53,2021-02-09 05:54:00,2021-09-17 11:31:55,STICK,Fuscia,54,GASOLINE,http://dummyimage.com/176x387.png/5fa2dd/ffffff,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,2004,Navigator,2,895
47,2021-03-13 22:56:24,2021-05-16 09:41:28,2021-01-06 06:08:28,AUTOMATIC,Mauv,59,DIESEL,http://dummyimage.com/234x348.png/5fa2dd/ffffff,vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,2013,Taurus,6,231
48,2021-08-01 06:42:36,2021-04-14 02:03:33,2021-07-21 20:27:07,STICK,Maroon,60,DIESEL,http://dummyimage.com/158x112.png/ff4444/ffffff,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,2010,Forte,2,761
49,2021-08-09 13:17:23,2021-01-08 13:09:26,2021-05-25 04:28:26,STICK,Teal,95,DIESEL,http://dummyimage.com/230x103.png/ff4444/ffffff,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,2009,Azure,2,237
50,2021-06-29 11:33:41,2021-06-24 10:05:28,2021-01-10 05:51:49,AUTOMATIC,Fuscia,37,GAS,http://dummyimage.com/210x368.png/ff4444/ffffff,vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,1963,Corvair 500,5,188
51,2021-01-30 22:00:12,2021-06-26 21:46:47,2021-08-05 01:23:50,AUTOMATIC,Indigo,42,GAS,http://dummyimage.com/157x336.png/cc0000/ffffff,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,2002,PT Cruiser,6,65
52,2021-02-13 09:49:26,2021-06-12 02:39:37,2021-02-15 18:39:17,STICK,Yellow,32,GAS,http://dummyimage.com/104x345.png/dddddd/000000,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,2011,RX-8,5,21
53,2021-03-15 09:45:36,2021-04-22 21:40:11,2021-08-30 08:49:31,STICK,Teal,53,GASOLINE,http://dummyimage.com/149x269.png/5fa2dd/ffffff,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,1992,Pajero,9,884
54,2021-04-20 14:15:56,2021-03-11 15:39:15,2021-02-05 22:35:40,STICK,Maroon,100,GASOLINE,http://dummyimage.com/142x118.png/5fa2dd/ffffff,dui proin leo odio porttitor id consequat in consequat ut nulla sed,2006,Vibe,4,947
55,2021-04-08 00:45:16,2021-08-19 14:20:32,2021-07-13 05:04:36,STICK,Mauv,34,GASOLINE,http://dummyimage.com/219x215.png/ff4444/ffffff,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,1995,Previa,1,760
56,2021-07-07 08:36:50,2021-02-01 21:41:08,2021-03-08 19:30:49,AUTOMATIC,Maroon,27,GAS,http://dummyimage.com/179x255.png/5fa2dd/ffffff,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,1987,Tredia,4,33
57,2021-08-03 12:50:42,2021-08-09 03:14:27,2021-01-28 04:51:17,AUTOMATIC,Mauv,32,GASOLINE,http://dummyimage.com/230x275.png/ff4444/ffffff,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,1993,400SEL,7,529
58,2021-06-01 09:27:27,2021-04-13 15:23:08,2021-02-13 07:37:13,STICK,Teal,42,DIESEL,http://dummyimage.com/202x157.png/cc0000/ffffff,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1992,Corvette,6,91
59,2021-03-19 10:29:54,2021-06-05 21:28:05,2021-01-24 12:56:51,AUTOMATIC,Green,22,GASOLINE,http://dummyimage.com/212x143.png/cc0000/ffffff,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,1994,Q,1,520
60,2021-08-02 14:01:38,2021-05-09 13:45:36,2021-07-27 02:46:08,AUTOMATIC,Purple,1,DIESEL,http://dummyimage.com/130x373.png/5fa2dd/ffffff,proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis,2002,Th!nk,2,538
61,2021-02-24 09:07:45,2021-07-14 19:14:31,2021-05-15 01:01:59,AUTOMATIC,Green,100,DIESEL,http://dummyimage.com/225x175.png/5fa2dd/ffffff,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,2011,Panamera,2,139
62,2021-02-11 19:52:12,2021-05-20 15:06:40,2021-03-10 12:38:19,AUTOMATIC,Mauv,89,DIESEL,http://dummyimage.com/234x137.png/ff4444/ffffff,blandit nam nulla integer pede justo lacinia eget tincidunt eget,2008,TrailBlazer,10,801
63,2021-03-16 18:47:07,2021-03-18 14:13:56,2021-07-24 01:37:27,AUTOMATIC,Yellow,45,DIESEL,http://dummyimage.com/131x400.png/5fa2dd/ffffff,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,1994,Jimmy,5,352
64,2021-08-06 00:25:29,2021-04-05 00:01:08,2021-02-13 14:14:58,AUTOMATIC,Orange,51,GAS,http://dummyimage.com/165x231.png/ff4444/ffffff,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,1966,Falcon,8,972
65,2021-05-26 00:58:09,2021-02-15 04:09:26,2021-09-04 02:21:01,AUTOMATIC,Aquamarine,15,GAS,http://dummyimage.com/191x162.png/5fa2dd/ffffff,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,2007,Carens,10,277
66,2021-01-30 03:17:33,2021-04-18 16:22:33,2021-07-20 02:47:44,AUTOMATIC,Goldenrod,76,GASOLINE,http://dummyimage.com/206x194.png/5fa2dd/ffffff,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,1994,Dakota,7,139
67,2021-05-10 06:43:44,2021-09-15 06:30:59,2021-01-06 08:38:32,STICK,Yellow,41,GASOLINE,http://dummyimage.com/160x111.png/ff4444/ffffff,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar,1966,Corvette,2,724
68,2021-06-04 12:52:26,2021-08-25 13:02:47,2021-02-06 04:01:36,STICK,Green,59,DIESEL,http://dummyimage.com/141x116.png/cc0000/ffffff,velit id pretium iaculis diam erat fermentum justo nec condimentum,2007,Tiburon,4,602
69,2021-02-22 01:43:12,2021-06-03 05:28:28,2021-02-20 20:27:13,STICK,Green,78,DIESEL,http://dummyimage.com/106x250.png/dddddd/000000,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,2001,Sephia,3,765
70,2021-08-01 09:13:40,2021-05-29 07:49:35,2021-01-07 22:57:51,AUTOMATIC,Purple,62,GASOLINE,http://dummyimage.com/110x204.png/dddddd/000000,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,2012,Challenger,9,830
71,2021-03-10 06:50:07,2021-05-14 00:34:52,2021-08-04 22:31:27,STICK,Yellow,89,GAS,http://dummyimage.com/246x294.png/dddddd/000000,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,2007,M-Class,7,853
72,2021-09-06 04:58:55,2021-01-07 19:28:47,2021-08-22 23:06:40,STICK,Aquamarine,56,GASOLINE,http://dummyimage.com/111x194.png/5fa2dd/ffffff,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,1990,Jetta,10,591
73,2021-02-04 11:05:36,2021-04-23 17:12:12,2021-01-08 12:09:09,AUTOMATIC,Yellow,58,DIESEL,http://dummyimage.com/194x155.png/dddddd/000000,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,2010,Miata MX-5,4,910
74,2021-09-14 13:18:54,2021-03-27 21:54:24,2021-04-16 00:28:23,STICK,Orange,27,DIESEL,http://dummyimage.com/246x114.png/cc0000/ffffff,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1996,J,5,48
75,2021-01-07 01:58:53,2021-01-13 11:13:12,2021-04-16 08:27:21,AUTOMATIC,Indigo,21,GASOLINE,http://dummyimage.com/102x236.png/dddddd/000000,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,1994,Tempo,1,982
76,2021-02-02 01:05:24,2021-05-01 11:44:31,2021-08-13 10:03:50,STICK,Teal,6,GAS,http://dummyimage.com/146x381.png/ff4444/ffffff,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum,2004,Marauder,6,7
77,2021-01-28 07:56:23,2021-05-28 17:27:18,2021-04-10 10:12:31,AUTOMATIC,Yellow,83,GASOLINE,http://dummyimage.com/180x247.png/dddddd/000000,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,2001,Diamante,3,728
78,2021-04-25 21:57:58,2021-02-01 07:40:00,2021-04-17 18:25:55,STICK,Green,96,GASOLINE,http://dummyimage.com/111x369.png/cc0000/ffffff,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,2009,PT Cruiser,3,434
79,2021-06-19 13:57:54,2021-04-14 23:29:21,2021-08-26 03:02:17,STICK,Crimson,25,GASOLINE,http://dummyimage.com/104x276.png/ff4444/ffffff,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,2007,Sequoia,3,318
80,2021-09-20 13:12:54,2021-04-04 05:59:50,2021-01-23 01:48:22,AUTOMATIC,Goldenrod,15,GASOLINE,http://dummyimage.com/107x146.png/dddddd/000000,velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,1997,Venture,7,915
81,2021-06-07 11:24:49,2021-09-19 20:02:50,2021-08-20 15:08:33,AUTOMATIC,Maroon,100,GASOLINE,http://dummyimage.com/108x314.png/ff4444/ffffff,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a,2000,Suburban 2500,1,463
82,2021-04-10 21:27:09,2021-02-23 18:56:46,2021-03-27 07:31:07,STICK,Goldenrod,75,GAS,http://dummyimage.com/148x197.png/ff4444/ffffff,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,1985,Ranger,2,854
83,2021-06-17 19:54:35,2021-03-08 11:56:35,2021-08-24 08:11:38,STICK,Violet,2,GAS,http://dummyimage.com/240x363.png/cc0000/ffffff,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,2000,Savana 1500,9,40
84,2021-09-21 05:38:27,2021-02-18 06:01:30,2021-04-07 11:05:39,AUTOMATIC,Khaki,15,GASOLINE,http://dummyimage.com/211x361.png/ff4444/ffffff,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien,2010,RX,6,124
85,2021-07-06 21:17:55,2021-01-10 06:52:52,2021-08-31 10:50:49,STICK,Indigo,66,DIESEL,http://dummyimage.com/162x203.png/cc0000/ffffff,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,1994,Sidekick,10,137
86,2021-09-08 10:38:25,2021-05-05 07:40:28,2021-01-06 04:40:38,STICK,Indigo,39,GAS,http://dummyimage.com/117x120.png/5fa2dd/ffffff,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,1997,Jimmy,7,775
87,2021-01-19 14:27:35,2021-09-01 23:04:28,2021-09-17 05:36:16,STICK,Blue,83,DIESEL,http://dummyimage.com/243x273.png/dddddd/000000,nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend,2005,57,6,71
88,2021-09-04 17:00:29,2021-08-06 05:57:04,2021-04-20 18:22:13,STICK,Turquoise,23,GASOLINE,http://dummyimage.com/238x362.png/5fa2dd/ffffff,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,1994,GS,1,378
89,2021-06-19 23:52:55,2021-08-10 06:58:53,2021-01-28 09:54:05,STICK,Goldenrod,9,GAS,http://dummyimage.com/217x238.png/ff4444/ffffff,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,1993,164,4,562
90,2021-08-14 08:22:16,2021-01-14 11:27:01,2021-01-19 06:28:30,STICK,Green,98,GAS,http://dummyimage.com/129x202.png/ff4444/ffffff,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,2010,HS,2,491
91,2021-05-11 18:59:52,2021-05-17 12:50:32,2021-07-27 18:19:09,STICK,Pink,67,DIESEL,http://dummyimage.com/197x189.png/5fa2dd/ffffff,donec ut mauris eget massa tempor convallis nulla neque libero,1968,Corvette,5,663
92,2021-05-05 23:32:55,2021-05-11 14:35:18,2021-01-20 02:22:22,AUTOMATIC,Turquoise,91,GASOLINE,http://dummyimage.com/106x166.png/5fa2dd/ffffff,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,2004,Sierra 2500,7,472
93,2021-06-15 17:29:10,2021-02-21 10:51:01,2021-08-14 11:34:10,AUTOMATIC,Blue,45,GASOLINE,http://dummyimage.com/196x313.png/ff4444/ffffff,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,2007,Cayman,8,410
94,2021-05-24 01:53:53,2021-06-17 17:37:40,2021-02-11 22:20:53,STICK,Goldenrod,9,GASOLINE,http://dummyimage.com/121x200.png/cc0000/ffffff,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut,2010,Charger,9,34
95,2021-09-05 04:19:28,2021-04-03 20:54:48,2021-08-28 20:38:40,AUTOMATIC,Red,74,GAS,http://dummyimage.com/163x330.png/ff4444/ffffff,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,2008,Sorento,7,387
96,2021-05-03 16:08:51,2021-06-13 09:56:04,2021-06-22 18:32:39,AUTOMATIC,Khaki,6,GASOLINE,http://dummyimage.com/163x100.png/cc0000/ffffff,nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,1996,G,8,905
97,2021-03-15 01:57:56,2021-06-28 16:40:46,2021-09-19 07:47:57,AUTOMATIC,Pink,16,GASOLINE,http://dummyimage.com/168x186.png/5fa2dd/ffffff,pede justo eu massa donec dapibus duis at velit eu est congue,1997,Ram 3500 Club,3,849
98,2021-03-24 15:05:36,2021-04-27 06:11:39,2021-04-28 20:36:19,STICK,Green,21,GAS,http://dummyimage.com/220x176.png/dddddd/000000,at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,1992,240,7,82
