car_price_id,created_at,deleted_at,modified_at,car_transmission_kind,color,distance,fuel,image_src,model_option,model_year,name,passengers
11,2021-07-03 09:36:53,2021-08-14 02:24:30,2021-06-23 02:20:09,AUTOMATIC,Mauv,26,GAS,http://dummyimage.com/111x233.png/dddddd/000000,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,2011,Caravan,7
12,2021-01-05 10:14:34,2021-05-15 09:48:05,2021-03-29 19:31:06,STICK,Violet,59,GASOLINE,http://dummyimage.com/232x196.png/5fa2dd/ffffff,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,2000,Yukon Denali,1
13,2021-02-02 12:13:33,2021-01-15 00:13:32,2021-04-18 17:43:28,STICK,Maroon,41,DIESEL,http://dummyimage.com/106x130.png/ff4444/ffffff,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,2001,SLK-Class,7
14,2021-07-16 05:24:54,2021-07-17 12:31:20,2021-03-07 00:41:16,AUTOMATIC,Puce,96,GASOLINE,http://dummyimage.com/243x393.png/ff4444/ffffff,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam,1992,W201,5
15,2021-06-27 17:11:43,2021-02-09 03:07:56,2021-05-29 11:13:39,AUTOMATIC,Yellow,48,GAS,http://dummyimage.com/141x142.png/5fa2dd/ffffff,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,2005,Grand Vitara,4
16,2021-02-22 17:29:10,2021-06-12 06:40:16,2021-03-02 17:11:10,STICK,Aquamarine,48,GASOLINE,http://dummyimage.com/128x210.png/ff4444/ffffff,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,2007,Touareg,9
17,2021-05-11 23:39:00,2021-02-10 06:25:52,2021-01-07 05:35:52,AUTOMATIC,Maroon,72,GAS,http://dummyimage.com/126x276.png/dddddd/000000,aenean lectus pellentesque eget nunc donec quis orci eget orci,1994,Coachbuilder,1
18,2021-02-24 21:08:43,2021-07-17 01:15:21,2021-01-09 01:48:30,STICK,Teal,74,GASOLINE,http://dummyimage.com/147x391.png/cc0000/ffffff,varius integer ac leo pellentesque ultrices mattis odio donec vitae,2011,Tahoe,3
19,2021-05-07 18:27:10,2021-04-16 18:58:09,2021-07-14 11:56:07,AUTOMATIC,Pink,13,DIESEL,http://dummyimage.com/139x316.png/dddddd/000000,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,1997,Century,5
20,2021-07-17 23:19:13,2021-09-09 10:55:33,2021-01-12 00:48:26,AUTOMATIC,Orange,88,GAS,http://dummyimage.com/163x155.png/cc0000/ffffff,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,1997,Camry,3
21,2021-05-13 14:19:58,2021-08-03 02:01:49,2021-05-23 04:33:14,STICK,Indigo,97,GAS,http://dummyimage.com/200x316.png/5fa2dd/ffffff,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales,1991,W201,2
22,2021-07-12 12:25:41,2021-07-09 15:26:56,2021-09-18 19:28:25,STICK,Mauv,92,DIESEL,http://dummyimage.com/186x231.png/5fa2dd/ffffff,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,1994,Mustang,6
23,2021-05-30 16:14:17,2021-08-05 18:08:23,2021-01-01 01:06:50,STICK,Mauv,65,GASOLINE,http://dummyimage.com/205x299.png/ff4444/ffffff,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,2012,57,6
24,2021-01-14 12:45:16,2021-05-22 12:33:24,2021-06-30 20:50:43,STICK,Aquamarine,25,GASOLINE,http://dummyimage.com/148x272.png/ff4444/ffffff,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,2011,Milan,1
25,2021-06-18 19:50:32,2021-07-16 13:47:49,2021-03-31 19:40:29,AUTOMATIC,Goldenrod,58,GAS,http://dummyimage.com/220x211.png/ff4444/ffffff,posuere cubilia curae nulla dapibus dolor vel est donec odio justo,2006,Focus,1
26,2021-01-27 15:53:48,2021-02-27 19:19:30,2021-03-11 12:14:05,STICK,Red,24,GASOLINE,http://dummyimage.com/237x135.png/cc0000/ffffff,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque,1997,Safari,6
27,2021-07-09 01:30:44,2021-07-17 20:31:58,2021-07-05 15:02:06,AUTOMATIC,Red,18,GAS,http://dummyimage.com/245x161.png/5fa2dd/ffffff,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,1989,Firefly,4
28,2021-03-20 18:31:22,2021-09-12 23:40:43,2021-07-25 00:10:04,STICK,Teal,73,GASOLINE,http://dummyimage.com/150x325.png/ff4444/ffffff,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,2006,Cayman,2
29,2021-01-03 08:51:50,2021-03-29 07:37:12,2021-05-31 22:02:05,STICK,Turquoise,19,GAS,http://dummyimage.com/235x305.png/ff4444/ffffff,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,1999,V70,9
30,2021-07-21 05:28:34,2021-08-14 14:05:37,2021-02-26 15:26:54,STICK,Fuscia,79,GAS,http://dummyimage.com/181x133.png/ff4444/ffffff,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,1995,Mustang,2
31,2021-09-02 03:37:18,2021-03-26 02:57:04,2021-06-14 07:56:52,STICK,Purple,17,DIESEL,http://dummyimage.com/110x383.png/dddddd/000000,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,1976,Golf,6
32,2021-08-13 22:25:05,2021-09-07 03:37:28,2021-05-07 00:13:18,AUTOMATIC,Red,71,DIESEL,http://dummyimage.com/238x225.png/5fa2dd/ffffff,mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac,2002,9-3,8
33,2021-06-19 08:12:06,2021-08-14 03:24:40,2021-08-19 04:59:31,AUTOMATIC,Blue,85,GASOLINE,http://dummyimage.com/208x153.png/dddddd/000000,odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,1993,Sonata,8
34,2021-01-01 16:11:53,2021-09-04 22:52:49,2021-03-10 13:21:00,STICK,Orange,3,GASOLINE,http://dummyimage.com/233x347.png/dddddd/000000,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,2007,Montego,6
35,2021-05-07 12:32:56,2021-05-19 23:19:25,2021-02-19 18:36:12,AUTOMATIC,Indigo,82,GASOLINE,http://dummyimage.com/152x145.png/5fa2dd/ffffff,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,2006,F-350 Super Duty,3
36,2021-08-21 02:40:01,2021-07-01 14:40:04,2021-01-16 15:16:44,STICK,Mauv,1,GAS,http://dummyimage.com/188x219.png/cc0000/ffffff,aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,2000,Protege,3
37,2021-04-19 07:25:39,2021-06-18 23:19:15,2021-07-10 20:17:27,STICK,Indigo,17,GAS,http://dummyimage.com/164x210.png/cc0000/ffffff,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend,2007,Ranger,7
38,2021-07-14 14:21:42,2021-06-25 17:27:21,2021-03-05 19:55:38,AUTOMATIC,Yellow,44,GASOLINE,http://dummyimage.com/110x284.png/ff4444/ffffff,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,2000,Eclipse,9
39,2021-04-29 21:59:30,2021-01-20 00:36:00,2021-05-13 14:15:25,AUTOMATIC,Turquoise,95,DIESEL,http://dummyimage.com/163x114.png/ff4444/ffffff,cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,2000,C70,9
40,2021-06-03 01:37:41,2021-07-08 19:28:37,2021-08-03 23:33:31,AUTOMATIC,Indigo,20,GAS,http://dummyimage.com/185x320.png/cc0000/ffffff,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1985,Lynx,8
41,2021-02-03 16:01:14,2021-05-03 01:00:57,2021-03-30 14:05:34,STICK,Yellow,77,DIESEL,http://dummyimage.com/114x202.png/ff4444/ffffff,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,2000,SC,8
42,2021-04-01 07:16:26,2021-09-19 18:35:33,2021-03-31 02:58:36,AUTOMATIC,Fuscia,47,GAS,http://dummyimage.com/124x374.png/5fa2dd/ffffff,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,1998,Tahoe,8
43,2021-05-01 16:32:43,2021-02-04 16:43:22,2021-02-18 07:19:24,AUTOMATIC,Orange,89,GASOLINE,http://dummyimage.com/163x256.png/5fa2dd/ffffff,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,1993,RVR,2
44,2021-09-03 21:10:33,2021-09-02 04:41:23,2021-03-20 07:43:23,STICK,Violet,47,DIESEL,http://dummyimage.com/229x155.png/ff4444/ffffff,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,1995,Diamante,4
45,2021-08-21 17:58:10,2021-06-07 17:04:50,2021-01-24 11:02:09,STICK,Yellow,6,DIESEL,http://dummyimage.com/234x331.png/5fa2dd/ffffff,vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in,2011,A3,3
46,2021-02-22 15:28:11,2021-03-03 08:33:28,2021-09-19 00:59:17,STICK,Goldenrod,81,GASOLINE,http://dummyimage.com/205x353.png/ff4444/ffffff,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,2007,RS 4,9
47,2021-09-01 00:01:28,2021-06-05 02:03:38,2021-02-25 23:23:47,AUTOMATIC,Green,41,GAS,http://dummyimage.com/230x386.png/cc0000/ffffff,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,1993,Expo,7
48,2021-04-01 20:44:58,2021-03-01 18:24:02,2021-06-03 06:23:35,AUTOMATIC,Green,87,GAS,http://dummyimage.com/211x251.png/cc0000/ffffff,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,2010,9-5,10
49,2021-01-31 17:40:31,2021-09-22 04:31:26,2021-05-22 19:35:03,STICK,Orange,53,GASOLINE,http://dummyimage.com/174x276.png/ff4444/ffffff,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,2007,Acadia,7
50,2021-02-05 04:34:27,2021-09-07 01:27:20,2021-05-14 06:26:37,AUTOMATIC,Mauv,13,DIESEL,http://dummyimage.com/238x320.png/cc0000/ffffff,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa,2002,S80,5
51,2021-01-12 15:01:40,2021-03-30 08:19:07,2021-07-18 14:08:39,AUTOMATIC,Violet,39,GAS,http://dummyimage.com/186x369.png/cc0000/ffffff,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2010,RL,2
52,2021-01-06 14:25:28,2021-01-10 02:40:06,2021-03-07 22:38:48,AUTOMATIC,Yellow,57,GASOLINE,http://dummyimage.com/121x107.png/5fa2dd/ffffff,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede,2000,300M,8
53,2021-07-03 01:28:29,2021-09-14 11:46:29,2021-07-20 23:44:24,AUTOMATIC,Mauv,60,DIESEL,http://dummyimage.com/153x167.png/ff4444/ffffff,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus,1992,Sundance,4
54,2021-03-18 00:20:01,2021-03-20 09:03:34,2021-09-01 15:18:34,AUTOMATIC,Puce,93,DIESEL,http://dummyimage.com/201x371.png/dddddd/000000,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1996,Riviera,3
55,2021-08-03 10:44:53,2021-01-07 04:47:43,2021-03-24 20:52:28,AUTOMATIC,Purple,18,GAS,http://dummyimage.com/107x295.png/ff4444/ffffff,amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in,2002,Expedition,8
56,2021-08-09 21:48:33,2021-07-24 10:11:18,2021-02-27 18:47:35,STICK,Indigo,89,DIESEL,http://dummyimage.com/207x137.png/ff4444/ffffff,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa,1990,Swift,2
57,2021-05-30 00:54:19,2021-07-07 17:07:35,2021-09-06 12:26:16,AUTOMATIC,Turquoise,17,GAS,http://dummyimage.com/108x329.png/5fa2dd/ffffff,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,1987,Aerostar,10
58,2021-07-18 09:06:28,2021-07-01 00:02:49,2021-01-26 06:45:46,STICK,Green,50,DIESEL,http://dummyimage.com/133x277.png/dddddd/000000,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,2000,Legacy,10
59,2021-08-06 02:19:45,2021-02-20 02:51:02,2021-06-18 22:01:44,STICK,Green,38,GASOLINE,http://dummyimage.com/200x233.png/dddddd/000000,massa donec dapibus duis at velit eu est congue elementum in hac,2003,F250,10
60,2021-06-23 04:39:40,2021-04-18 19:40:18,2021-04-07 18:58:24,AUTOMATIC,Orange,25,GAS,http://dummyimage.com/113x142.png/5fa2dd/ffffff,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla,2012,E350,8
61,2021-03-19 23:32:15,2021-03-11 04:16:00,2021-03-17 01:00:13,STICK,Violet,2,GASOLINE,http://dummyimage.com/164x197.png/ff4444/ffffff,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,2004,Monterey,7
62,2021-02-14 09:37:30,2021-09-11 02:23:32,2021-06-25 05:09:27,STICK,Turquoise,44,GAS,http://dummyimage.com/130x307.png/5fa2dd/ffffff,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,1995,Ram Van 1500,7
63,2021-03-06 19:29:42,2021-02-15 17:33:23,2021-02-21 17:37:24,AUTOMATIC,Blue,39,GASOLINE,http://dummyimage.com/199x291.png/ff4444/ffffff,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1987,900,9
64,2021-04-24 08:21:19,2021-09-14 01:31:16,2021-07-26 04:32:33,AUTOMATIC,Indigo,24,GAS,http://dummyimage.com/153x305.png/ff4444/ffffff,quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,2001,Millenia,10
65,2021-02-20 03:37:47,2021-04-22 06:52:33,2021-04-11 10:38:25,STICK,Orange,41,DIESEL,http://dummyimage.com/126x385.png/dddddd/000000,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,1995,Grand Voyager,5
66,2021-05-02 19:42:03,2021-03-10 23:05:25,2021-01-16 20:52:23,STICK,Purple,19,GAS,http://dummyimage.com/108x301.png/cc0000/ffffff,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique,2010,CC,1
67,2021-03-24 07:58:42,2021-09-12 19:55:55,2021-04-13 20:09:36,STICK,Goldenrod,18,GAS,http://dummyimage.com/240x349.png/dddddd/000000,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat,1999,Millenia,9
68,2021-06-24 16:45:30,2021-01-29 02:24:53,2021-09-09 14:13:26,STICK,Puce,24,GAS,http://dummyimage.com/217x151.png/dddddd/000000,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,2012,F250,6
69,2021-08-25 23:09:23,2021-03-04 09:30:42,2021-04-24 06:50:28,STICK,Mauv,35,GAS,http://dummyimage.com/180x100.png/ff4444/ffffff,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,1969,Camaro,3
70,2021-06-30 04:32:27,2021-01-11 12:47:52,2021-09-21 00:13:47,AUTOMATIC,Aquamarine,35,GASOLINE,http://dummyimage.com/228x282.png/cc0000/ffffff,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,1989,Courier,9
71,2021-06-30 21:04:33,2021-08-26 06:57:29,2021-06-13 20:59:09,STICK,Turquoise,7,GASOLINE,http://dummyimage.com/107x130.png/cc0000/ffffff,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2007,E-Series,7
72,2021-04-09 03:01:22,2021-02-17 03:20:42,2021-05-15 05:29:59,AUTOMATIC,Green,89,GASOLINE,http://dummyimage.com/151x173.png/5fa2dd/ffffff,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,2006,Silverado 3500,1
73,2021-04-03 22:38:09,2021-07-03 11:39:49,2021-04-09 09:13:22,AUTOMATIC,Blue,20,GASOLINE,http://dummyimage.com/188x202.png/dddddd/000000,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,2011,Routan,7
74,2021-09-17 17:20:16,2021-07-28 19:42:12,2021-09-15 01:58:46,STICK,Pink,66,DIESEL,http://dummyimage.com/157x352.png/ff4444/ffffff,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,1992,Tempo,10
75,2021-03-21 15:40:09,2021-02-10 13:03:01,2021-09-14 20:39:56,AUTOMATIC,Maroon,56,GASOLINE,http://dummyimage.com/196x253.png/ff4444/ffffff,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,1986,GTI,8
76,2021-07-13 15:54:50,2021-05-25 00:23:29,2021-09-13 09:03:58,STICK,Orange,6,GASOLINE,http://dummyimage.com/143x267.png/ff4444/ffffff,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia,1986,SJ 410,1
77,2021-03-27 14:30:20,2021-01-03 23:45:43,2021-04-16 23:28:26,STICK,Turquoise,16,GAS,http://dummyimage.com/210x256.png/5fa2dd/ffffff,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2011,TT,3
78,2021-03-07 06:59:55,2021-02-13 16:36:42,2021-05-30 07:13:36,STICK,Teal,29,DIESEL,http://dummyimage.com/102x261.png/cc0000/ffffff,lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a,1994,Colt,5
79,2021-05-02 21:36:35,2021-04-26 17:50:57,2021-08-04 14:35:42,STICK,Yellow,52,GASOLINE,http://dummyimage.com/133x189.png/cc0000/ffffff,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,2000,3 Series,4
80,2021-01-18 03:54:26,2021-07-31 22:36:10,2021-08-28 09:17:34,AUTOMATIC,Khaki,98,DIESEL,http://dummyimage.com/107x375.png/dddddd/000000,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,1992,Fleetwood,7
81,2021-05-01 13:56:32,2021-05-21 06:18:49,2021-02-17 06:11:06,STICK,Maroon,35,DIESEL,http://dummyimage.com/166x147.png/5fa2dd/ffffff,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum,2011,Pilot,9
82,2021-05-27 04:39:59,2021-06-19 19:44:36,2021-02-01 04:07:00,STICK,Mauv,27,GASOLINE,http://dummyimage.com/206x188.png/cc0000/ffffff,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,1991,Mirage,8
83,2021-09-20 14:48:26,2021-03-04 20:18:25,2021-06-18 16:52:19,AUTOMATIC,Turquoise,5,GAS,http://dummyimage.com/205x245.png/dddddd/000000,metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,1998,Bonneville,4
84,2021-01-30 02:12:40,2021-02-05 19:24:39,2021-01-03 10:46:55,AUTOMATIC,Violet,6,DIESEL,http://dummyimage.com/233x351.png/cc0000/ffffff,non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2011,Eclipse,2
85,2021-03-09 22:55:14,2021-05-31 04:27:55,2021-02-09 12:14:29,STICK,Fuscia,52,GAS,http://dummyimage.com/244x150.png/ff4444/ffffff,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,2007,Forester,6
86,2021-06-11 20:28:07,2021-08-10 02:45:06,2021-03-09 11:36:33,AUTOMATIC,Teal,74,GASOLINE,http://dummyimage.com/163x115.png/ff4444/ffffff,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,2006,B9 Tribeca,5
87,2021-03-13 10:32:03,2021-02-16 03:14:21,2021-09-23 08:34:47,STICK,Maroon,70,GAS,http://dummyimage.com/135x149.png/cc0000/ffffff,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,1994,Chariot,6
88,2021-09-13 21:34:33,2021-05-09 03:10:36,2021-07-27 21:46:12,AUTOMATIC,Goldenrod,8,DIESEL,http://dummyimage.com/168x145.png/ff4444/ffffff,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla,2009,Crown Victoria,10
89,2021-07-18 16:40:27,2021-05-29 07:59:24,2021-05-08 17:03:50,STICK,Blue,94,GASOLINE,http://dummyimage.com/126x157.png/ff4444/ffffff,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,2005,LaCrosse,7
90,2021-02-01 14:45:31,2021-02-01 14:17:29,2021-01-26 21:24:24,STICK,Puce,41,GAS,http://dummyimage.com/102x301.png/ff4444/ffffff,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,1997,Cutlass,2
91,2021-03-09 04:25:48,2021-02-01 19:14:57,2021-04-20 18:34:56,STICK,Pink,55,GASOLINE,http://dummyimage.com/156x306.png/5fa2dd/ffffff,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,2004,V70,2
92,2021-02-17 02:08:48,2021-05-24 22:20:14,2021-04-09 22:27:57,AUTOMATIC,Aquamarine,28,DIESEL,http://dummyimage.com/250x369.png/5fa2dd/ffffff,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,2009,Cobalt SS,6
93,2021-07-08 06:45:19,2021-03-19 20:46:52,2021-03-13 09:41:52,STICK,Green,3,GASOLINE,http://dummyimage.com/237x147.png/dddddd/000000,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,1994,164,2
94,2021-03-13 22:02:14,2021-05-13 23:19:57,2021-07-12 17:28:13,AUTOMATIC,Khaki,1,GASOLINE,http://dummyimage.com/227x119.png/dddddd/000000,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,2013,BRZ,5
95,2021-08-09 11:16:57,2021-06-10 13:43:05,2021-05-15 16:58:20,AUTOMATIC,Green,84,DIESEL,http://dummyimage.com/194x138.png/5fa2dd/ffffff,eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,2006,H2,2
96,2021-02-13 15:51:13,2021-06-01 17:11:45,2021-07-19 06:04:35,STICK,Goldenrod,11,DIESEL,http://dummyimage.com/224x266.png/5fa2dd/ffffff,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,1996,Sportage,7
97,2021-06-02 13:01:53,2021-04-13 00:42:55,2021-05-01 14:08:22,AUTOMATIC,Purple,92,GAS,http://dummyimage.com/238x133.png/cc0000/ffffff,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac,2007,Mazdaspeed 3,5
98,2021-08-05 06:16:08,2021-01-07 04:19:29,2021-04-02 04:23:30,STICK,Blue,7,DIESEL,http://dummyimage.com/250x385.png/cc0000/ffffff,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,2002,Rio,6
99,2021-01-01 16:05:56,2021-04-19 07:59:44,2021-01-17 20:57:00,AUTOMATIC,Yellow,21,DIESEL,http://dummyimage.com/242x310.png/cc0000/ffffff,morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,2010,GS,4
100,2021-02-10 13:13:18,2021-04-14 11:33:21,2021-08-29 09:46:25,AUTOMATIC,Maroon,76,DIESEL,http://dummyimage.com/128x311.png/ff4444/ffffff,id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat,2006,E-350 Super Duty,3
